[64] 5．有A、B、C三个完全相同的金属球，A带⟦1.2×10^(−8) C⟧的正电荷，B、C不带电，现用相互接触的方法使它们都带电，则A、B、C所带的电荷量可能是（　　）
[65] A．⟦4.0×10^(−9) C⟧，⟦4.0×10^(−9) C⟧，⟦4.0×10^(−9) C⟧
[66] B．⟦6.0×10^(−9) C⟧，⟦4.0×10^(−9) C⟧，⟦4.0×10^(−9) C⟧
[67] C．⟦6.0×10^(−9) C⟧，⟦3.0×10^(−9) C⟧，⟦3.0×10^(−9) C⟧
[68] D．⟦5.0×10^(−9) C⟧，⟦5.0×10^(−9) C⟧，⟦5.0×10^(−9) C⟧
[69] 【答案】AC
[70] 【难度】0.85
[71] 【知识点】接触起电
[72] 【详解】A．若三个球同时接触，则每球各分得总电荷量的⟦(1)/(3)⟧，A正确；
[73] BD．BD选项中三个球所带电荷量的总和大于原来A球的电荷量，不符合电荷守恒定律，BD错误；
[74] C．设第一次两球接触，如A、B接触，A、B各带电荷量⟦6.0×10^(−9) C⟧，第二次B与C接触后各带电荷量⟦3.0×10^(−9) C⟧，C正确。
[75] 故选AC。
[76] 【图】1．过程及现象
[77] （1）取一对用绝缘支柱支持的金属导体A、B，使它们彼此接触。起初它们不带电，贴在它们下面的金属箔是闭合的，如图所示。
[78] 【图】（2）带正电荷的球C移近导体A，可以看到A、B上的金属箔都张开了，这表示A、B上都带了电荷，如图所示。
[79] 【图】（3）如果把A、B分开，然后移去C，可以看到A和B仍带有电荷，如图所示。
[80] 【图】（4）让A、B接触，金属箔就不再张开，表明它们不再带电了。这说明A、B所带的电荷是等量的，互相接触时，等量的正、负电荷发生了中和。
