[963] 3．处于静电平衡时的导体上的电荷分布特点
[964] （1）净电荷只分布在导体表面，内部没有净电荷。
[965] （2）感应电荷分布于导体两端，电性相反，电量相等，近异远同，如图甲所示。
[966] （3）净电荷在导体表面的分布不均匀，一般越是尖锐的地方电荷的分布越密集，如图乙所示。
[967] 【图】    甲　　　　　　　　乙
[968] 处于静电平衡的导体周围的电场分布情况
[969] 【图】静电平衡的导体尖端电荷集中，电荷电场线密集。
[970] 【例题】
[971] 54．如图所示，长为l的导体棒原来不带电，现将一个带正电的点电荷q放在棒的中心轴线上距离棒的左端R处。当棒达到静电平衡后（　　）
[972] 【图】
[973] A．棒整体带负电
[974] B．感应电荷在O点产生的电场方向水平向左
[975] C．棒的中点O处有净剩电荷
[976] D．感应电荷在棒的中点O处产生的场强大小为⟦(4kq)/(l^(2))⟧
[977] 【答案】B
[978] 【难度】0.65
[979] 【知识点】静电平衡、利用静电平衡求场强
[980] 【详解】A．根据电荷守恒定律可知棒整体不带电，故A错误；
[981] B．静电平衡后整根棒为一个等势体，内部场强处处为零，点电荷⟦q⟧在O点的电场强度方向水平向右，根据矢量的叠加可知感应电荷在O点产生的电场方向水平向左，故B正确；
[982] C．静电平衡时导体内部没有净剩电荷，电荷只分布在导体的外表面，故C错误；
[983] D．导体棒静电平衡后，棒上感应电荷在O处产生的场强大小与点电荷q在该次产生的电场强度大小相同、方向相反，故感应电荷在棒的中点O处产生的场强大小为
[984] ⟦E=(kq)/((R+(l)/(2))^(2))=(4kq)/((2R+l)^(2))⟧
[985] 故D错误。
[986] 故选B。
