01-E6| — |R4A-01|〔亲算自证｜脚本独立路线双证＝一致：比例路线 Ep₂＝Ep₁·(q₂/q₁)＝2×10⁻⁹J 与定义式路线同值（`亲算校验-输出.txt` R4A-01 三行 PASS）〕
01-E7| — |R4A-02|〔亲算自证｜符号穷举表四情形独立复验（q×Ep比较×Ep符号全组合），唯一正确项为 B，与主详解一致（§七表）〕
01-E8| — |R4A-03|〔亲算自证｜叠加公式数值验证：取 Q=2×10⁻⁶C 于 (±0.1,0)、A=(−0.05,0)、C=(0,0.05)，φ_A=4.8×10⁵V＞φ_O=3.6×10⁵V＞φ_C≈3.2×10⁵V（脚本 R4A-03 两行 PASS）；单调性论证与数值双路同向〕
02-E9| — |R4A-04|〔亲算自证｜脚本独立路线（先 ΔEp＝q(φ_B−φ_A)＝＋2×10⁻⁷J，再 W＝−ΔEp）与 W=qU_AB 直乘同值（`亲算校验-输出.txt` R4A-04 两行 PASS）〕
02-E10| — |R4A-05|〔亲算自证｜数值支撑：设 φ_M=60V、φ_N=0，Ep_M=−9.6×10⁻¹⁸J＜Ep_N=0，W(N→M)=(−e)(−60)＞0（脚本 R4A-05 两行 PASS），与符号推理链同向〕
02-E11| — |R4A-06|〔亲算自证｜线性场论证独立复核：匀强场 φ(x)＝φ₀−E·x，B、C 等电势 ⇔ (B−C)·E＝0 ⇔ BC⊥E；A 侧投影分量大 ⇒ 电势高，指向成立（§七推理链复核）〕
04-E4| — |R4A-07|〔亲算自证｜脚本独立路线 ΔQ＝C·ΔU 与 Q′＝CU′ 差值路线同值（`亲算校验-输出.txt` R4A-07 三行 PASS）〕
04-E5| — |R4A-08|〔亲算自证｜比值定义不变性＋反例数值（R4A-09 数据：20μF 电容器电荷减半、电压 3500V→1750V，C=Q/U 比值不变）双路复核（§七）〕
04-E6| — |R4A-09|〔亲算自证｜脚本比例路线 U′＝0.5U 与定义式路线 U′＝Q′/C 同值（`亲算校验-输出.txt` R4A-09 三行 PASS）〕
05-E7| — |R4A-10|〔亲算自证｜J 与 eV 双路线复算一致（`亲算校验-输出.txt` R4A-10 两行 PASS）〕
05-E8| — |R4A-11|〔亲算自证｜脚本分步数值路线与闭式路线双证，y、tanθ 各两路全等（`亲算校验-输出.txt` R4A-11 四行 PASS）〕
05-E9| — |R4A-12|〔亲算自证｜脚本独立路线（动能定理求 U 再 E=U/L）与主详解（运动学求 E 再 U=EL）互逆全等（`亲算校验-输出.txt` R4A-12 三行 PASS）〕
01-E9| — |R4B-01|〔亲算自证｜设值独立复核：取 E 沿 +x、φ(x)＝100−200x，则 φ_A＝φ_B＝100V（同竖直线同 x）✓、φ_C＝80V＜φ_B ✓、W_BC＝(−e)(100−80)＝−3.2×10⁻¹⁸J＜0 ✓（`亲算校验-输出.txt` R4B-01 三行 PASS）〕
02-E12| — |R4B-02|〔亲算自证｜脚本双路线：定义倍乘（1×e×1）与 W＝qU 直算（e×100）两路同值（`亲算校验-输出.txt` R4B-02 三行 PASS）〕
02-E13| — |R4B-03|〔亲算自证｜推理链独立复核：唯一性矛盾论证＋W＝qU 取 U＝0 直得 0（§七 B；定性题数值支撑在 `亲算校验-输出.txt` 批B-01 段同族设值）〕
02-E14| — |R4B-04|〔亲算自证｜脚本独立路线＝分段电势能账：ΔEp_AB＝−W_AB＝＋6×10⁻⁷J＞0 ⇒ Ep_B＞Ep_A（q＞0 同向 φ_B＞φ_A）；Ep_C−Ep_A＝−(W_AB＋W_BC)＝−6×10⁻⁷J＜0 ⇒ φ_C＜φ_A——与主详解路线同序 B＞A＞C；W′ 与 W＝−ΔEp 复核同值（`亲算校验-输出.txt` R4B-04 五行 PASS）〕
04-E7| — |R4B-05|〔亲算自证｜脚本双路线：U_m＝Ed 直乘；比例复核（300V＝3.0×10³V 的 1/10 ⇒ E＝阈值的 1/10＝3.0×10⁵V/m）（`亲算校验-输出.txt` R4B-05 三行 PASS）〕
04-E8| — |R4B-06|〔亲算自证｜脚本双路线：自 M 降落路线 φ_P＝E·d−E·d_MP 与自接地极起算路线 φ_P＝E·(d−d_MP)＝E·0.03 同值 120V；D 项数值 −E·d_MP＝−80V 复核（`亲算校验-输出.txt` R4B-06 四行 PASS）〕
04-E9| — |R4B-07|〔亲算自证｜推理链独立复核：四条对照教材10.4 实验/储能论述（电流渐减、末压等源、反向渐减、构造决定论）逐条复核（§七 B）〕
05-E10| — |R4B-08|〔亲算自证｜脚本三路线：分步 a→t→y、v_y→tanθ；闭式 y、tanθ；tanθ＝2y/l 第三路——全等（`亲算校验-输出.txt` R4B-08 七行 PASS，含 U＝Ed 配凑 900V 与 y＜d/2 校验）〕
05-E11| — |R4B-09|〔亲算自证｜脚本双路线：Ek＝eU₀→v＝√(2Ek/m) 与 v＝√(2eU₀/m)→Ek＝½mv² 回代，两路全等（`亲算校验-输出.txt` R4B-09 四行 PASS）〕
05-E12| — |R4B-10|〔亲算自证｜脚本约化单位数值代入：同速情形 tan_p/tan_α＝2.0、同动能情形 tan_p/tan_α＝0.5，与详解比值一致（`亲算校验-输出.txt` R4B-10 两行 PASS）〕
05-E13| — |R4B-11|〔亲算自证｜脚本双路线：E→F→a→v＝√(2ad) 运动学路线与 v＝√(2qU/m)、F＝qU/d 直算路线同值；d 加倍 F′/F＝0.5、v′/v＝1.0（`亲算校验-输出.txt` R4B-11 六行 PASS）〕
05-E14| — |R4B-12|〔亲算自证｜设值支撑：Δφ＝2V、甲间距 0.05m、乙间距 0.20m ⇒ E_甲＝40V/m、E_乙＝10V/m，比值 4.0（`亲算校验-输出.txt` R4B-12 一行 PASS）〕
05-E15| — |R4B-13|〔亲算自证｜脚本双式：W＝q(φ_P−φ_S) 与 W＝−ΔEp＝−q(φ_S−φ_P) 两式同值 −2.4×10⁻⁸J；ΔEp＝＋2.4×10⁻⁸J（`亲算校验-输出.txt` R4B-13 三行 PASS）〕
01-E12| — |R4M-01|〔亲算印证｜设 k=Q=a=1 数值叠加：|E_O|≈0（<10⁻¹²）；E_K=(0,−4/3)、模 4/3＝4kQ/3a²；陷阱值 |E_M@K|＋|E_N@K|＝8；φ_O＝3√3≈5.196；电子在 K 受力 (0,+4/3) 指向 P（`自检重推-输出.txt` 难1 五行 PASS）〕
02-E15| — |R4M-04|〔亲算印证｜构造一致实现 φ(x,y)=12−2x−y（E=(2,1)），A(0,0) B(4,0) C(3,1) D(1,2)：U_AB=8、U_DC=3 与题给 W 反推同值；M=(1.5,0.5)、N=(2.5,1)、U_MN=2.5 且推论① (U_AB+U_CD)/2 同值；W=qU_MN=5×10⁻⁶J；φ_M>φ_N（`自检重推-输出.txt` 难2 四行 PASS）〕
02-E16| — |R4M-05|〔亲算印证｜独立路线＝斜率定力→E=F/q→W=q(φ₀−φ₁) 量值链：E₁=6V/m、E₂=2V/m、比值 3:1；F₂=4×10⁻⁶N≠0；φ(2m)=+12V；W(0→2m)=−2.4×10⁻⁵J<0（`自检重推-输出.txt` 难3 四行 PASS）〕
03-E6| — |R4M-06|〔亲算印证｜几何重建 B(0,0,0) C(3,0,0) D(1.5,3√3/2,0) A(1.5,√3/2,√6)，六棱全=3；投影法解 2×2 线性方程组（φ_B−φ_X＝E₀·(X−B)）得唯一解 E₀=(2,0,0)；E₀·ĉ_BC=2、E₀·d̂_BD=1=2cos60°；U_CD=−3V。场向沿 **B→C**（E₀ 与 C→B 单位向量点积 −2<0）——断点④-1/④-3「沿C→B」系笔误，按亲算校正（§七报备⑤）（`自检重推-输出.txt` 难4 六行 PASS）〕
03-E7| — |R4M-07|〔亲算印证｜值域核 2∈(−4,6)；匀强特例 (6−4)/2 中点线性内插＝1V；电子做功 (−e)×10V＝−10eV；「直线⇒匀强」反例＝点电荷辐射直线场线 E∝1/r²（`自检重推-输出.txt` 难5 四行 PASS）〕
04-E11| — |R4M-08|〔亲算印证｜设 C₀=1、U₀=6 数值链：Q₀=6 恒定→U′=Q₀/(C₀/2)=12V；E前=U₀/d₀=6、E后=12/(2d₀)=6 不变（微粒仍静止）；反接 U 恒 6V→E=3=半值→微粒向下（`自检重推-输出.txt` 难6 四行 PASS）〕
01-E10| — |R4M-02|〔亲算印证｜设 +Q(0,0)、−Q(2,0)（d=1，s=0.5）数值叠加：φ_M=4/3、φ_N=−4/3（反号非零）；O 点合场=2=2kQ/d²；φ_M>φ_N；负电荷 E_p(M)=(−4/3)＜E_p(N)=(+4/3)（`自检重推-输出.txt` 选1 四行 PASS）〕
