[464] 26．某单行隧道横断面由一段抛物线及一个矩形的三边组成，尺寸如图所示（单位：m），某卡车载一集装箱，车宽3 m，车与集装箱总高4.5 m，此车能否安全通过隧道？说明理由．
[465] 【图】
[466] 【答案】不能安全通过隧道，理由见解析
[467] 【难度】0.65
[468] 【知识点】求实际问题中的抛物线方程、抛物线的应用、根据抛物线上的点求标准方程
[469] 【分析】建立平面直角坐标系，求出抛物线方程，当车走中间时⟦x=1.5⟧，代入抛物线求纵坐标，与车货总高比较即可.
[470] 【详解】以抛物线的顶点为原点，以抛物线的对称轴为y轴，建立平面直角坐标系，如图，
[471] 【图】
[472] 则点A的坐标为⟦(3,−3)⟧．
[473] 设抛物线的标准方程为⟦x^(2)=−2py⟧（⟦p>0⟧）．
[474] 将点A的坐标代入上式，得⟦9=6p⟧，即⟦2p=3⟧．
[475] 所以抛物线的标准方程为⟦x^(2)=−3y⟧．
[476] 将⟦x=1.5⟧代入抛物线的标准方程，得⟦y=−0.75⟧，则⟦5−0.75=4.25<4.5⟧．
[477] 这说明，即使集装箱处于隧道的正中位置，车与集装箱的总高也会高于BD，所以此车不能安全通过隧道．
[478] 
