[57] 6．黄金分割起源于公元前⟦6⟧世纪古希腊的毕达哥拉斯学派，公元前⟦4⟧世纪，古希腊数学家欧多克索斯第一个系统研究了这一问题，公元前⟦300⟧年前后欧几里得撰写《几何原本》时吸收了欧多克索斯的研究成果，进一步系统论述了黄金分割，成为最早的有关黄金分割的论著.黄金分割是指将整体一分为二，较大部分与整体部分的比值等于较小部分与较大部分的比值，其比值为⟦(√(5)−1)/(2)⟧，把⟦(√(5)−1)/(2)⟧称为黄金分割数. 已知双曲线⟦(x^(2))/((√(5)-1)^(2))-(y^(2))/(m)=1⟧的实轴长与焦距的比值恰好是黄金分割数，则⟦m⟧的值为
[58] 			A．⟦2√(5)-2⟧	B．⟦√(5)+1⟧	C．⟦2⟧	D．⟦2√(5)⟧
[59] 【答案】A
[60] 【难度】0.65
[61] 【知识点】双曲线标准方程的形式、根据双曲线方程求a、b、c
[62] 【分析】先求出双曲线的焦距，然后根据实轴长与焦距的比值为黄金分割数得到关于⟦m⟧的方程，解方程可得所求．
[63] 【详解】由题意得，在双曲线中⟦a^(2)=(√(5)−1)^(2),b^(2)=m⟧，
[64] ∴⟦c^(2)=a^(2)+b^(2)=(√(5)−1)^(2)+m⟧．
[65] ∵双曲线的实轴长与焦距的比值为黄金分割数⟦(√(5)−1)/(2)⟧，
[66] ∴⟦(2a)/(2c)=(a)/(c)=(√(5)−1)/(2)⟧，
[67] ∴⟦(a^(2))/(c^(2))=((√(5)−1)/(2))^(2)=(3−√(5))/(2)⟧，
[68] ∴⟦((√(5)−1)^(2))/((√(5)−1)^(2)+m)=(3−√(5))/(2)⟧，解得⟦m=2(√(5)−1)⟧．
[69] 故选A．
[70] 【点睛】本题考查双曲线的基本性质，解题的关键是根据题意得到关于参数⟦m⟧的方程，考查对新概念的理解、运用和计算能力，属于中档题．
[71] 
