[32] FW-PUNCT-SPACE | ...'下列选项正确的是（\xa0\xa0\xa0\xa0）'
[58] FW-PUNCT-SPACE | ...'【答案】 ；\u3000【知识点】2.'
[75] FW-PUNCT-SPACE | ...'则圆，的公切线有（\xa0\xa0\xa0\xa0）'
[100] DOUBLE-SPACE | runs=[]
[100] FW-PUNCT-SPACE | ...'另一个端点的轨迹方程为  ．'
[116] FW-PUNCT-SPACE | ...'H的中点M的轨迹方程为（ ）'
[161] FW-PUNCT-SPACE | ...'圆锥曲线的方程为（\xa0\xa0\xa0\xa0）'
[181] TRAILING | last_run='. '
[267] FW-PUNCT-SPACE | ...'段中点坐标为，因为，所以 ，因为 ，所以 ，'
[270] FW-PUNCT-SPACE | ...'，则的取值集合为（\xa0\xa0\xa0\xa0）.'
[280] FW-PUNCT-SPACE | ...'下列结论正确的是（\xa0\xa0\xa0\xa0）'
[320] FW-PUNCT-SPACE | ...'点，则的最小值为（\xa0\xa0\xa0\xa0）'
[332] FW-PUNCT-SPACE | ...'且，则的最小值是（\xa0\xa0\xa0\xa0）'
[338] TRAILING | last_run=' '
[339] DOUBLE-SPACE | runs=[]
[363] FW-PUNCT-SPACE | ...'列说法中正确的是（\xa0\xa0\xa0\xa0）'
[374] FW-PUNCT-SPACE | ...'椭圆的标准方程为（\xa0\xa0\xa0\xa0）'
[398] FW-PUNCT-SPACE | ...'心点的轨迹方程为（\xa0\xa0\xa0\xa0）'
[415] FW-PUNCT-SPACE | ...'程求得，再求得左焦点坐标 ，由两点间距离公式'
[423] FW-PUNCT-SPACE | ...'】设点P的坐标为，则，由 ，利用二次函数的性'
[426] FW-PUNCT-SPACE | ...'动，则的最大值为（\xa0\xa0\xa0\xa0）'
[434] FW-PUNCT-SPACE | ...'椭圆上的动点，则（\xa0\xa0\xa0\xa0）'
[443] FW-PUNCT-SPACE | ...'【答案】 ；\u3000【知识点】2.'
[452] FW-PUNCT-SPACE | ...'点，则△的周长是（\xa0\xa0\xa0\xa0）．'
[481] FW-PUNCT-SPACE | ...'的面积为4b，则（\xa0\xa0\xa0\xa0）'
[494] FW-PUNCT-SPACE | ...'则,设内切圆半径为r，则 ，'
[499] FW-PUNCT-SPACE | ...'下列结论正确的有（\xa0\xa0\xa0\xa0）'
[513] FW-PUNCT-SPACE | ...'两点，下列说法正确的是（ ）'
[541] FW-PUNCT-SPACE | ...'，则的取值范围是（\xa0\xa0\xa0\xa0）'
[555] FW-PUNCT-SPACE | ...'【答案】 ；\u3000【知识点】2.'
[620] FW-PUNCT-SPACE | ...'可求得其体积等于（\xa0\xa0\xa0\xa0）．'
[673] FW-PUNCT-SPACE | ...'【答案】 ，\u3000【知识点】2.'
[718] FW-PUNCT-SPACE | ...'中，形状最扁的是（\xa0\xa0\xa0\xa0）'
[760] FW-PUNCT-SPACE | ...'点，则的最大值为（\xa0\xa0\xa0\xa0）'
[787] TRAILING | last_run=' '
[792] FW-PUNCT-SPACE | ...'离的最小值为，则（\xa0\xa0\xa0\xa0）'
[796] FW-PUNCT-SPACE | ...'到右焦点距离最小值为，即 ，又，所以，由，所'
[808] FW-PUNCT-SPACE | ...'曲线 ，即 ，表示以原点'
[832] DOUBLE-SPACE | runs=[]
[844] FW-PUNCT-SPACE | ...'其中正确的结论是（\xa0\xa0\xa0\xa0）'
[863] FW-PUNCT-SPACE | ...'【答案】 ； ；\u3000【知识点】'
[868] FW-PUNCT-SPACE | ...'下列说法正确的是（\xa0\xa0\xa0\xa0）'
[881] FW-PUNCT-SPACE | ...'下列说法正确的是（\xa0\xa0\xa0\xa0）'
[937] FW-PUNCT-SPACE | ...'切线互相垂直，则（\xa0\xa0\xa0\xa0）'
[1005] FW-PUNCT-SPACE | ...'点，则的最小值为（\xa0\xa0\xa0\xa0）．'
[1018] FW-PUNCT-SPACE | ...'下列说法正确的是（\xa0\xa0\xa0\xa0）'
