[142] 13．已知双曲线C：⟦(x^(2))/(a^(2))−(y^(2))/(b^(2))=1(a>0,b>0)⟧的左焦点为⟦F_(1),P⟧为左支上一点，⟦|PF_(1)|=a,P_(0)⟧与⟦P⟧关于原点对称，且⟦P_(0)F_(1)⋅PF_(1)=0⟧，则双曲线的渐近线方程为（    ）
[143] 			A．⟦y=±x⟧	B．⟦y=±(√(6))/(2)x⟧	C．⟦y=±(√(3))/(2)x⟧	D．⟦y=±2x⟧
[144] 【答案】B
[145] 【难度】0.85
[146] 【知识点】双曲线的对称性、根据a,b,c齐次式关系求渐近线方程
[147] 【分析】由向量的数量积可知⟦P_(0)F_(1)⊥PF_(1)⟧，根据对称性有⟦P_(0)F_(1)⊥P_(0)F_(2)⟧，由双曲线的定义、勾股定理有⟦10a^(2)=4c^(2)⟧，即可求双曲线的渐近线方程.
[148] 【详解】由⟦P_(0)F_(1)⋅PF_(1)=0⟧，即⟦P_(0)F_(1)⊥PF_(1)⟧，⟦P_(0)⟧与⟦P⟧关于原点对称，
[149] ∴⟦P_(0)F_(1)⊥P_(0)F_(2)⟧，又⟦|P_(0)F_(1)|−|P_(0)F_(2)|=2a⟧且⟦|PF_(1)|=a⟧，即⟦|P_(0)F_(2)|=a⟧
[150] ∴⟦|P_(0)F_(1)|=3a⟧，
[151] 在Rt△⟦P_(0)F_(1)F_(2)⟧中，⟦|P_(0)F_(1)|^(2)+|P_(0)F_(2)|^(2)=|F_(1)F_(2)|^(2)⟧，则⟦10a^(2)=4c^(2)=4(a^(2)+b^(2))⟧，
[152] ∴⟦(b^(2))/(a^(2))=(3)/(2)⟧，故双曲线的渐近线为⟦y=±(√(6))/(2)x⟧.
[153] 【图】
[154] 故选：B
[155] 
