[574] 33．质量均为m的三个带电小球A、B、C用三根长度均为l的绝缘丝线相互连接，放置在光滑绝缘的水平面上，A球的电荷量为＋q。在C球上施加一个水平向右的恒力F之后，三个小球一起向右运动，三根丝线刚好都伸直且没有弹力，F的作用线反向延长线与A、B间的丝线相交于丝线的中点，如图所示，已知静电力常量为k，下列说法正确的是（　　）
[575] 【图】
[576] A．B球的电荷量可能为＋2q
[577] B．C球的电荷量为⟦−√(2)q⟧
[578] C．三个小球一起运动的加速度为⟦(√(3)kq^(2))/(ml^(2))⟧
[579] D．恒力F的大小为⟦(2√(3)kq^(2))/(l^(2))⟧
[580] 【答案】C
[581] 【难度】0.65
[582] 【知识点】含静电力作用下的直线运动
[583] 【详解】A．根据对称性可知，A球的电荷量和B球的电荷量相同，故A错误；
[584] BCD．设C球的电荷量为qC，以A球为研究对象，B球对A球的库仑斥力为
[585] ⟦F_(BA)=(kq^(2))/(l^(2))⟧C球对A球的库仑引力为
[586] ⟦F_(CA)=(kqq_(C))/(l^(2))⟧
[587] 由题意可得一起运动的加速度方向与F的作用线平行，则有
[588] ⟦F_(CA)sin30°=F_(BA)⟧
[589] ⟦F_(CA)cos30°=ma⟧
[590] 解得
[591] ⟦q_(C)=2q⟧
[592] 且C球带负电，则
[593] ⟦a=(√(3)kq^(2))/(ml^(2))⟧
[594] ⟦F=3ma=(3√(3)kq^(2))/(l^(2))⟧
[595] 故C正确，BD错误。
[596] 故选C。
