2章-练-课时18-01	B（|MF₂|=5/2）
2章-练-课时18-02	CD
2章-练-课时18-03	(1) y²=4x、x²/4+y²/3=1；(2) S_max=2√3/3
2章-练-课时18-04	(1) d=|x₁y₂−x₂y₁|/√(x₁²+y₁²)，证毕；①S=√2；②m=−1/2（此时 S≡√2）
2章-练-课时18-05	(1) x²/4+y²/3=1；(2) 存在，t=−2/3，定值 1/2
2章-练-课时18-06	(1) y=1 或 x=0 或 y=−x+1；(2) 仅 k₁+k₂=−4 为定值，其余三个均不是
2章-练-课时18-07	(1) 4/5；(2) 恒过定点 (0,±10)
2章-练-课时18-08	(1) x²/4+y²/3=1；(2) 存在，R(4,0)
2章-练-课时18-09	(1) 两条件均得 x²/4+y²/3=1；(2) DE 恒过定点 (8/5,0)
2章-练-课时18-10	B
2章-练-课时18-11	(1) x²/4+y²/2=1；(2) 不存在（QA·QB≡−15/16 恒<1）
2章-练-课时18-12	(1) y²=8x；(2) 存在，t=±√2/2
2章-练-课时18-13	(1) x²/2+y²=1；(2) y=(2−√2)/2·(x+2) 或 y=0
2章-练-课时18-14	(1) a=2、b=1；(2) 存在，8x+3y−8=0
2章-练-课时18-15	(1) x²/4+y²=1；(2) 存在，min=2，此时 x−√2y−√3=0 或 x+√2y−√3=0
2章-练-课时18-16	(1) e=2；(2) 恒过定点 (4,0) 与 (−2,0)（两点同时在圆上）
